,0,China0,China1,China2,France0,France1,France2,Italy0,Italy1,Italy2,Japan0,Japan1,Japan2,Poland0,Poland1,Poland2,Portugal0,Portugal1,Portugal2,Russia0,Russia1,Russia2,South Korea0,South Korea1,South Korea2,Switzerland0,Switzerland1,Switzerland2,Vietnam0,Vietnam1,Vietnam2
79,0.0,30.783812,10.115915,20.399101,-18.99989,-10.96511,14.800703,-4.2866893,4.440339,29.099447,-29.01886,15.385519,-17.926811,19.92987,7.302498,-5.2742853,14.900876,-2.219859,-3.866268,-28.364548,12.721648,-16.70251,45.250988,-10.968923,20.959682,-19.091692,-23.494244,13.400322,-27.33796,15.506087,-28.280525
80,0.0,20.034086,-18.100725,-2.4927588,-15.871605,0.33842596,8.965988,-3.5088866,5.0204296,27.66647,-28.057795,14.017916,-32.3161,-29.52139,0.05115786,-16.191576,9.736178,-4.4287744,2.7639213,-13.101033,27.937239,6.573152,-5.1016607,-17.539145,5.9385147,0.6575575,-18.864986,15.320932,-10.188342,-19.41692,-18.177692
81,0.0,22.68361,0.6690517,-24.63319,-35.788166,-21.931768,7.743635,-2.7543123,7.2733335,28.615282,-5.0031624,2.324051,-14.560744,3.9935458,3.5069265,-11.129886,26.439625,1.9628601,-18.769312,2.345592,6.63714,4.3345323,10.534441,24.164906,13.727767,-12.758391,22.617992,20.400682,24.414827,9.739477,-6.520122
82,0.0,19.125093,-0.6069294,-25.410769,5.402169,-16.823862,33.973618,-18.69935,-17.862001,-2.2110987,-13.681821,-3.7679949,-1.3633078,20.880919,24.451809,-0.81989837,12.010565,13.499856,19.536053,-49.37316,0.46682554,-10.0036335,6.982973,23.20866,-26.029186,5.1186633,11.869578,36.339756,-24.904749,5.3788285,16.133303
83,0.0,21.671427,0.36332485,-29.336027,-13.606202,17.086931,11.819755,18.637732,-28.273726,-16.350327,33.115578,18.16009,21.936207,10.242823,-0.4841806,-10.540776,-39.558914,-9.061851,-6.3107433,-6.450672,-12.49014,22.95662,33.448776,14.679107,21.166761,-30.519203,1.9595656,-20.721077,-1.7829157,2.7514446,-36.30572
84,0.0,48.895084,-8.052168,16.264502,-2.6271274,-5.131506,32.106583,34.13116,-24.088007,4.927329,31.101837,3.2427208,32.58837,4.8143115,-15.7310295,29.948172,-0.4775993,16.863794,-9.185896,-6.7628717,-13.801196,22.527218,-24.366259,-11.119117,-9.9655075,-36.061066,8.966344,4.834923,38.34435,-16.300282,1.8875811
85,0.0,-25.71472,4.602934,-16.717915,-16.428415,11.956124,5.413088,25.102468,-7.149871,31.664846,-12.686881,9.283057,-2.4552877,13.976412,4.5208936,-2.0923414,-6.687335,15.394038,9.622187,28.555557,-21.816076,10.613065,-12.86504,6.64952,-6.9845653,2.1042972,5.5731654,8.469605,43.261024,-9.116005,16.090519
86,0.0,23.992641,-15.322582,-3.6766539,-2.3396888,12.478436,-6.9167585,-8.710338,13.6652,-35.64396,43.999233,-13.272781,9.2571535,7.05777,1.8682759,7.486521,1.1681005,-6.6110578,8.060114,-7.409644,-15.544515,-13.341448,5.7331567,-21.6495,13.389876,-22.008259,14.551173,13.936932,8.960136,20.322758,-31.120584
87,0.0,26.916023,-13.083766,3.8422248,15.477502,8.576961,20.911491,-13.119968,17.433517,-6.6806955,43.535538,-10.716016,9.250728,19.826147,18.557938,-25.099411,-16.512066,6.0231485,-23.21249,-52.158936,-1.4450581,-13.19583,-11.068753,6.4352994,-18.376198,-19.612558,-20.175505,10.832432,-23.888659,1.2515125,-6.443552
88,0.0,33.295883,14.647492,18.679617,-32.23814,0.7570326,1.2628927,-22.18805,-10.061368,-20.753216,42.276646,-2.1933951,5.867809,-4.655316,20.036325,-16.039305,5.6185646,-7.083845,-0.55977786,-18.306925,2.8842168,-36.31554,8.424644,18.103903,-26.114609,-18.794287,-17.028452,11.772505,34.79821,-18.015253,-11.280026
89,0.0,-7.5592113,20.452808,11.279683,39.962303,-1.2267888,17.118784,-41.25838,-11.51747,-3.003795,58.16944,-2.6660151,6.941977,-8.423904,1.3634839,7.7031536,9.530755,17.328161,22.71365,-3.2583427,-36.372158,-4.566,8.40099,16.176104,-29.48863,16.967892,8.953338,-0.21281318,17.26094,0.44682914,-15.844621
90,0.0,22.407547,-11.502509,-6.2638493,-2.4739773,-14.285251,-25.409359,-30.614058,-4.0832915,7.3377047,54.45493,-7.725511,9.031006,-14.290676,17.95844,-23.724989,15.500097,2.5325024,-0.83078694,46.020454,-6.7065115,17.00187,2.8925152,31.389843,-23.873066,-19.510544,-7.861935,13.357127,44.886505,1.5288416,7.787877
91,0.0,-31.224543,7.5463915,-20.477291,9.387143,14.036066,12.523491,-40.1364,-11.5876465,-0.78632206,51.04811,-2.9742482,5.9987135,14.126584,20.290152,4.406311,8.839369,6.8081336,-45.26697,18.652193,19.543352,8.540069,-2.1299295,7.7476416,-36.498096,44.776577,-2.247656,15.916416,6.870598,-12.7896385,-26.255737
92,0.0,9.713806,11.746444,-23.588703,-33.771507,4.586329,14.051869,-43.35521,-8.631135,0.009063588,-0.041618012,29.732458,-9.140926,1.5607985,-10.633417,1.3685391,-52.715084,12.209856,-1.8463718,-18.937538,16.137535,26.93662,6.3426104,10.110577,-6.6203556,6.5936885,10.475264,30.972282,1.0472834,30.163652,-6.219905
93,0.0,28.118433,-11.998105,-3.462326,-19.048405,-10.655709,5.9237065,-25.427635,-12.642404,16.59759,-8.030078,-13.993998,-21.031046,-10.443621,2.1438923,22.614017,19.066332,-24.867062,4.2264,-4.806815,4.180129,15.592435,-10.035811,11.590792,-9.658996,4.3881645,10.209734,33.66131,10.508536,15.413598,-21.296154
94,0.0,-11.726689,27.018871,-10.819131,34.827915,-8.032725,16.327267,-37.230236,1.3708119,-1.9288456,-0.66145134,-0.46864405,-20.529171,-5.549153,15.815541,-22.04168,-13.87166,14.764614,0.6783574,-34.884388,0.47798723,4.923741,6.9545493,7.1233993,-16.249846,-19.017649,-0.35413504,-21.863134,25.45358,-4.331883,-8.255263
95,0.0,-11.384027,28.998138,-6.301231,20.551107,-0.7916043,19.038025,-26.267284,-8.244657,5.7393966,-28.188135,-10.510217,-24.554842,3.512229,-39.569607,-4.215852,-54.471554,6.58758,-0.16972621,0.7482647,-33.43512,-2.5150542,5.564962,27.886503,-21.220924,-14.514462,-11.913969,15.807899,-8.709395,9.382213,-13.866916
96,0.0,34.250694,-15.73501,-7.7456527,-11.846504,-7.8991065,-13.688127,-14.035505,-1.6314144,-8.652962,-21.331154,2.4382815,-13.590155,1.4560932,-44.697662,5.808424,15.588254,-23.049044,23.242662,-23.4784,-25.434202,6.8504314,33.642235,-2.6838605,-7.313774,-36.15382,-6.8876176,4.0923243,-7.121059,-0.53936315,-21.153849
97,0.0,38.135166,-14.649418,-12.074164,20.292704,-27.5729,-15.389925,-15.837013,-18.135113,-11.604181,2.460861,7.9261646,-23.12299,8.226519,-40.728226,4.585457,5.6823554,-0.18365055,-6.9955225,-52.648804,-4.421658,-6.345692,7.336049,24.951263,-22.51041,-44.283855,0.42033312,-12.784874,1.0346383,-14.346986,-35.1654
98,0.0,32.931194,-18.12036,1.1290754,39.18933,2.735683,13.968111,-39.17159,-9.534121,-3.0317435,14.136328,9.788801,-6.8500304,-11.96185,-15.719446,27.275343,-12.600803,26.83927,12.0491495,-10.31644,-4.2771654,-21.411913,-20.033104,15.840857,-26.143778,-22.070002,-4.999772,13.344678,-12.047275,2.097386,-22.168732
99,0.0,29.778673,-19.322989,-4.8928175,3.7374392,-12.544734,20.763086,-39.679935,-9.037035,-0.687906,-2.0405931,6.2605634,-10.396925,-58.939396,1.444242,-7.4005775,-18.390287,11.228187,-21.512096,16.72336,4.394799,18.40164,11.792613,17.115822,-26.265303,-23.025795,7.2782607,-23.481667,-5.8648653,3.4523056,-17.657324
100,0.0,30.685709,-13.717232,-5.2359533,20.260658,-17.64748,-6.2770786,-28.664095,-6.2704167,4.9247456,-14.794328,-0.5499811,-40.772633,-28.626293,1.7626599,11.484357,-31.73535,-7.7371893,26.255625,-5.462778,-16.26048,10.093223,32.82127,4.4267592,-4.6337767,2.2289677,-16.769726,22.683369,-2.6978407,-2.3566685,-35.37044
101,0.0,32.20365,-14.362813,-6.5461035,-22.145836,-9.782017,-2.5273304,-44.50897,-10.273535,1.2275546,-10.31149,-0.41542906,-35.549114,-36.942802,-2.4092565,1.0334848,-33.961765,-8.092976,22.421839,-23.203764,9.91901,-15.53945,16.357311,22.895517,-22.398355,-22.013538,8.792172,9.826222,0.79184216,-5.3748975,-38.630272
102,0.0,35.915497,-16.757355,-7.486765,22.395418,1.041681,6.2616706,-41.51912,-9.133367,-4.3669066,42.96413,-12.360118,14.112567,-19.96484,-4.1474013,-32.150578,18.235245,3.6868234,18.980028,-11.788414,1.8691483,11.977479,-3.4725482,5.5746746,-16.455864,0.9534459,-22.587992,11.572277,-22.354593,-12.318972,-20.422165
